投点个数,均值,方差
10,130769.65489888443,36338993115.04332
20,57211.72401826193,8750750180.276974
30,76282.29869101594,7244047647.116483
40,89904.13774298305,7949154743.915728
50,111154.20666405177,6883032813.555264
60,144391.49395085155,6910049548.632624
70,137775.17212561038,7737849824.466754
80,75601.20673841755,3218906674.1381435
100,135673.51695759263,4518326276.289579
200,102981.1032328715,2060100271.4484115
500,121615.7790559625,826818972.7587502
1000,116875.37906587796,162323075.86315316
